id,flight_number,destination,departure_time,ticket_price,avalieable_places
1,A32,Prague,25.04.2023,100 eur,10
2,X91,Paris,04.05.2003,240 eur ,1
3,B01,Amsterdam,23.04.2023,80 eur,14
4,A70,Vienna,24.04.2023,55 eur,2
5,C50,Berlin,23.04.2023,235 eur,5
6,X13,London,01.05.2023,190 eur,20
7,D77,Grindelwald,27.04.2023,130 eur,3
8,C22,Strasbourg,29.04.2023,200 eur,9
9,A95,Florence,12.05.2023,110 eur,15
10,B16,Salzburg,25.04.2023,100 eur,1
11,X43,Rome,20.05.2023,45 eur,12
12,C12,Dublin,08.05.2023,100 eur,6
13,D01,Copenhagen,04.05.2023,90 eur,10
14,A88,Budapest,05.05.2023,130 eur,5
15,B29,Oslo,26.04.2023,210 eur,10
16,X11,Barcelona,29.05.2023,145 eur,21
17,C01,Venice,03.05.2023,190 eur,13
18,D99,Cappadocia,08.05.2023,200 eur,9
19,A10,Stockholm,30.04.2023,100 eur,8
20,X99,Munich,29.04.2023,95 eur,11